osm_id,name,road_ref,road_class,max_speed,city,geog
"[46256058, 329301435]",Životského,,tertiary,50,Brno,010200000008000000C60E74FE37A23040D5B48B69A698484045847F1134A23040B8E9CF7EA4984840C83AC1A332A23040FA264D83A2984840A41C27E032A23040AE7BD058A0984840E5D76A6A34A23040D9BE36D19D984840B004AD1B4AA2304041ECF1E780984840EB724A404CA230404312071A7D984840386CB64D4CA230404AC1093B7B984840
"[595229033, 594365658]",Svatopetrská,41,primary,60,Brno,010200000004000000CE250B4E339F3040E3C798BB96964840CF5955E5319F304038883144A99648402E066A8C319F3040EF810CD3AD96484093B76D29319F304075AF93FAB2964840
4795784,ulice 1. května,,residential,30,Brno,010200000006000000257497C459A93040E397B0EC389348404409449957A930403255D5703693484032B2BF4758A9304044C6FE0D35934840744EA21463A93040FCEDA1331F9348408A22A46E67A93040CB129D65169348404C9C267D6BA9304040EC962E0E934840
4795785,Tuřanská,380,secondary,50,Brno,010200000004000000257497C459A93040E397B0EC3893484034E5F9C21AA93040ED28CE51479348404959D0C5F0A830403C5FFDE9509348402CC71AE4E4A83040C37E4FAC53934840
8061193,Revoluční,380,secondary,50,Brno,010200000008000000257497C459A93040E397B0EC389348409CC1DF2F66A930401A89D00836934840DD20FF7167A930401428BDCA359348402E2757676BA9304009DC5FE234934840F9A1D28899A93040BB63B14D2A934840816E79F6A6A9304075A9B64027934840C768780EC0A930408483BD8921934840A9EF46301FAA30400C55D6DB0B934840
8313554,Bratislavská,,residential,30,Brno,0102000000040000003F355EBA49A03040182FCCF8AD994840CF51A28048A03040ADEEA2F9AD9948402804BC163EA030403CA98A04AE99484010B22C98F89F30401286014BAE994840
"[332341720, 332341716, 332341718]",Cejl,,tertiary,50,Brno,0102000000090000003F355EBA49A03040182FCCF8AD994840F6A402DD4DA03040E36F7B82C4994840376046674FA030403E12E5C1CC994840AD90A80650A03040ADA7B118D0994840D17AF83251A0304086432564D6994840A66BDC5152A03040E0979FC0E0994840ACCCEF8F52A030406228CC20E3994840769F88EA52A03040738D85D7E499484064A428E153A03040CB14CEC9E6994840
"[332341719, 94175015, 1174237671]",Cejl,,tertiary,50,Brno,01020000000A0000003F355EBA49A03040182FCCF8AD994840B2C8659247A0304016A4198BA6994840D6766E3546A030407143424AA2994840189A46EE44A03040FC04AB459F9948403DEC2A4943A030405DBD2FD39B9948407A86151340A030400656C49F9799484052B7B3AF3CA03040CCED5EEE9399484005AADAC93BA0304091C140C6929948409A2732CE3AA030401502B9C49199484019C5179238A03040752ACF728F994840
"[240702215, 48024744, 1435041962, 1435041963, 421591252, 421591254, 421591255]",Jihlavská,602,secondary,50,Brno,01020000000F000000DA594F08789530409C16BCE82B964840FC9CCC8987953040F08AE07F2B9648402E573F36C99530401AB4A1AC29964840568F45E4059630409EB29AAE279648400253BC804D96304087ECCDB9259648404ADA43B1CB963040834F73F222964840539CFE4701973040133EA594219648400D3FEE1120973040D76DABB420964840936FB6B9319730409C27E840209648405FE4AFDA46973040C6EE4CB21F96484035CA9F1452973040CC9717601F964840EE3AC0385D973040D240E20D1F9648409A8125B26A973040BB74DDA51E964840985C7B551D9830409A266C3F199648404A24D1CB28983040F9D280E618964840
"[34095056, 302714060, 302714061, 302714062]",Kamenice,,tertiary,50,Brno,010200000011000000DA594F08789530409C16BCE82B964840B092EA9678953040231C695F2F964840F88667AE7895304028493206319648405D386B4B7895304081FE8C1C33964840637C98BD6C9530402E40362449964840A6BF4D35699530403267C7574C9648402D46B82462953040F9F36DC152964840ACB24A4453953040B470FECB5A964840852E974341953040F8C264AA60964840C85F5AD4279530404F24986A6696484041C7FDFD1895304083177D056996484033D307DC04953040ECD56C8A6C9648402C2CB81FF0943040BB2BBB60709648402F83D668DE943040B91F4B7A73964840FD288F13CB943040992842EA769648407F87A2409F9430404E44BFB67E964840C9EF236D9994304006C0D3BF7F964840
