"id","source_type","source_id","target_type","target_id","link_type","confidence","description","created_at"
6840,"restriction",94492,"traffic_jam",17066,"caused_by",70,"laneClosures matched jam(moderate) via street","2026-04-15 16:54:40.149039+00"
6841,"restriction",94492,"traffic_jam",16187,"caused_by",75,"laneClosures matched jam(heavy) via street","2026-04-15 16:54:40.150884+00"
6842,"restriction",94493,"traffic_jam",54170,"caused_by",75,"roadworks matched jam(moderate) via street","2026-04-15 16:56:38.311345+00"
6843,"restriction",94493,"traffic_jam",53225,"caused_by",75,"roadworks matched jam(moderate) via street","2026-04-15 16:56:38.313189+00"
6844,"restriction",94493,"traffic_jam",53253,"caused_by",80,"roadworks matched jam(heavy) via street","2026-04-15 16:56:38.314913+00"
6845,"restriction",94493,"traffic_jam",52443,"caused_by",60,"roadworks matched jam(moderate) via spatial","2026-04-15 16:56:38.316566+00"
6846,"restriction",94493,"traffic_jam",51600,"caused_by",85,"roadworks matched jam(standstill) via street","2026-04-15 16:56:38.318228+00"
6847,"restriction",94493,"traffic_jam",48984,"caused_by",80,"roadworks matched jam(heavy) via street","2026-04-15 16:56:38.320081+00"
6848,"restriction",94493,"traffic_jam",46666,"caused_by",80,"roadworks matched jam(heavy) via street","2026-04-15 16:56:38.321585+00"
6849,"restriction",94493,"traffic_jam",46621,"caused_by",80,"roadworks matched jam(heavy) via street","2026-04-15 16:56:38.32337+00"
6850,"restriction",94493,"traffic_jam",45420,"caused_by",85,"roadworks matched jam(standstill) via street","2026-04-15 16:56:38.325121+00"
6851,"restriction",94493,"traffic_jam",44931,"caused_by",80,"roadworks matched jam(heavy) via street","2026-04-15 16:56:38.326712+00"
6852,"restriction",94493,"traffic_jam",44091,"caused_by",85,"roadworks matched jam(standstill) via street","2026-04-15 16:56:38.328493+00"
6853,"restriction",94493,"traffic_jam",44013,"caused_by",85,"roadworks matched jam(standstill) via street","2026-04-15 16:56:38.330286+00"
6854,"restriction",94493,"traffic_jam",43663,"caused_by",85,"roadworks matched jam(standstill) via street","2026-04-15 16:56:38.33193+00"
